,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
KMS-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,KMS-27,Lymphoid,NA,Blood,Multiple Myeloma,52,Years,Male,Japanese,349,TRUE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KMS-27,NA
KMS-28BM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,KMS-28BM,Lymphoid,Bone Marrow,Blood,Multiple Myeloma,77,Years,Female,Japanese,381,TRUE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KMS-28BM,NA
KMS-28PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,KMS-28PE,Lymphoid,Pleura,Blood,Multiple Myeloma,77,Years,Female,Japanese,381,FALSE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
KP-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pancreas,KP-2,Pancreas,NA,Pancreas,Carcinoma,NA,NA,NA,NA,320,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KP-2,NA
KPL-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,KPL-1,Breast,NA,Breast,Adenocarcinoma Ductal,NA,NA,Female,NA,541,FALSE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",KPL-1,NA
KPL-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,KPL-4,Breast,"Effusion, Pleural",Breast,Adenocarcinoma Ductal,52,Years,Female,Japanese,542,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
LNCAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prostate,LNCAP,Other,NA,Prostate,Carcinoma,50,Years,Male,Caucasian,202,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",LNCaP clone FGC,LNCaP-Clone-FGC
LOU-NH91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,LOU-NH91,Lung,NA,Lung,Carcinoma Squamous Cell,64,Years,Female,NA,94,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",LOU-NH91,NA
LS-174T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,LS 174T,Colo-Rectal,NA,Colon,Adenocarcinoma,NA,NA,NA,NA,175,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,LS-174T
LS 180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,LS 180,Colo-Rectal,NA,Colon,Adenocarcinoma,58,Years,Female,Caucasian,175,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,LS 180,NA
LXFL529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,LXFL529,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,NA,NA,390,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
M059J,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,M059J,Brain,NA,Brain,Glioblastoma,33,Years,Male,NA,116,FALSE,"DMEM/F12, 10% FBS, 2mM L-Glutamine, 15mM HEPES, 0.5mM Na.pyr, 1.2g/L NaHCO3, 0.5mM NEAA","Complete growth medium, 90%; DMSO, 10%",NA,M059J
M059K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,M059K,Brain,NA,Brain,Glioblastoma,33,Years,Male,NA,116,TRUE,"DMEM/F12, 10% FBS, 2mM L-Glutamine, 15mM HEPES, 0.5mM Na.pyr, 1.2g/L NaHCO3, 0.5mM NEAA","Complete growth medium, 90%; DMSO, 10%",M059K,NA
MCF10A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MCF 10A,Breast,NA,Breast,Fibrocystic Disease,NA,NA,Female,Caucasian,177,TRUE,"DMEM/F12, 2% Charcoal dextran treated FBS, 20ng/ml EGF, 0.01 mg/ml insulin, 500ng/ml Hydrocortisone","50% FBS, 40% complete media, 10% DMSO",NA,NA
MCF10DCIS.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MCF10DCIS.com,Breast,NA,Breast,Normal,NA,NA,NA,NA,177,FALSE,"DMEM/F12, 2% Charcoal dextran treated FBS, 20ng/ml EGF, 0.01 mg/ml insulin, 500ng/ml Hydrocortisone","50% FBS, 40% complete media, 10% DMSO",NA,NA
MDA-MB-134-VI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MDA-MB-134-VI,Breast,NA,Breast,Carcinoma,47,Years,Female,Caucasian,334,TRUE,"DMEM, 20% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MDA-MB-134-VI,MDA-MB-134-VI
MDA-MB-330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MDA-MB-330,Breast,"Effusion, Pleural",Breast,Carcinoma,43,Years,Female,Caucasian,538,TRUE,"DMEM, 10% FBS, 2mM L-glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
MDA-MB-361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MDA-MB-361,Breast,NA,Breast,Adenocarcinoma,NA,NA,NA,NA,332,TRUE,"Leibovitz's L-15 Medium, 20% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MDA-MB-361,MDA-MB-361
MDA-MB-415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MDA-MB-415,Breast,NA,Breast,Adenocarcinoma,38,Years,Female,NA,537,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MDA-MB-415,MDA-MB-415
MDA-MB-435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,MDA-MB-435,Skin,NA,Skin,Melanoma,NA,NA,NA,NA,400,TRUE,"DMEM, 10% FBS, 2mM Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,MDA-MB-435
MDST8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,large_intestine,MDST8,Colo-Rectal,NA,Colon,Carcinoma,NA,NA,NA,NA,520,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MDST8,NA
ME-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,ME-1,Lymphoid,NA,Bone Marrow,Leukemia Acute Myelogenic,40,Years,Male,Japanese,579,TRUE,"RPMI-1640, 10% HI FBS, 2mM Glutamine","Complete growth medium, 90%; DMSO, 10%",ME-1,NA
MHH-NB-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,autonomic_ganglia,MHH-NB-11,Brain,NA,Brain,Neuroblastoma,4,Years,Male,Caucasian,214,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MHH-NB-11,MHH-NB-11
MKN7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stomach,MKN-7,Stomach,NA,Stomach,Adenocarcinoma Tubular,39,Years,Male,NA,6,TRUE,"RPMI-1640 10% FBS, 2mM L-Gln","Complete growth medium, 90%; DMSO, 10%",MKN7,MKN7
MM1-S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,MM.1S,Lymphoid,NA,Blood,Multiple Myeloma,42,Years,Female,African,377,TRUE,NA,NA,MM1-S,NA
MOLM-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,MOLM-16,Lymphoid,NA,Blood,Leukemia Acute Myelogenic,NA,NA,Female,Japanese,578,TRUE,"RPMI-1640 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MOLM-16,NA
MOLP-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,MOLP-2,Lymphoid,NA,Blood,Multiple Myeloma,55,Years,Male,NA,348,TRUE,"RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MOLP-2,NA
MOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,MOR,Lung,NA,Lung,Adenocarcinoma,NA,NA,NA,NA,186,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",MOR/CPR,NA
MS751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cervix,MS751,Cervix,NA,Cervix,Carcinoma,47,Years,Female,Caucasian,266,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
MT3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MT-3,Breast,NA,Breast,Carcinoma,NA,NA,NA,NA,175,FALSE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
MX-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,breast,MX-1,Breast,NA,Breast,Carcinoma,NA,NA,NA,NA,330,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NA
NAMALWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,NAMALWA,Lymphoid,NA,Blood,Malignant Lymphoma - Burkitts Type,NA,NA,NA,NA,471,TRUE,"RPMI-1640, 10% HI FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NAMALWA,NA
NCI-H1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1048,Lung,"Effusion, Pleural",Lung,Carcinoma Small Cell,NA,NA,Female,NA,500,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1048,NCI-H1048
NCI-H1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1092,Lung,NA,Lung,Carcinoma Small Cell,67,Years,Male,Caucasian,3,TRUE,"HITES, 5% FBS","Complete growth medium, 90%; DMSO, 10%",NCI-H1092,NCI-H1092
NCI-H1373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1373,Lung,NA,Lung,Adenocarcinoma,56,Years,Male,African,506,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1373,NA
NCI-H1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1395,Lung,NA,Lung,Adenocarcinoma,55,Years,Female,Caucasian,93,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","FBS, 90%; DMSO, 10%",NCI-H1395,NCI-H1395
NCI-H1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1435,Lung,NA,Lung,Carcinoma Non-Small Cell,35,Years,Female,NA,499,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1435,NA
NCI-H146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H146,Lung,NA,Lung,Carcinoma Small Cell,NA,NA,Male,Caucasian,234,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H146,NCI-H146
NCI-H1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1568,Lung,NA,Lung,Carcinoma Non-Small Cell,48,Years,Female,Caucasian,498,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1568,NA
NCI-H1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1573,Lung,NA,Lung,Adenocarcinoma,NA,NA,NA,NA,505,TRUE,ACL-4 media,"Complete growth medium, 90%; DMSO, 10%",NCI-H1573,NCI-H1573
NCI-H1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1623,Lung,NA,Lung,Carcinoma Non-Small Cell,58,Years,Male,Caucasian,92,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1623,NA
NCI-H1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1650,Lung,"Effusion, Pleural",Lung,Adenocarcinoma,27,Years,Male,Caucasian,497,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1650,NCI-H1650
NCI-H1693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1693,Lung,NA,Lung,Carcinoma Non-Small Cell,55,Years,Female,Caucasian,504,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1693,NCI-H1693
NCI-H1734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1734,Lung,NA,Lung,Carcinoma Non-Small Cell,56,Years,Female,NA,184,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1734,NA
NCI-H1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1770,Lung,NA,Lung,Carcinoma Non-Small Cell,57,Years,NA,Caucasian,394,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NA,NCI-H1770
NCI-H1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1781,Lung,"Effusion, Pleural",Lung,Adenocarcinoma,66,Years,Female,Caucasian,362,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1781,NA
NCI-H1792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1792,Lung,NA,Lung,Adenocarcinoma,50,Years,Male,Caucasian,503,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1792,NCI-H1792
NCI-H1793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1793,Lung,NA,Lung,Adenocarcinoma,52,Years,Female,NA,495,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1793,NCI-H1793
NCI-H1882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1882,Lung,NA,Lung,Carcinoma Small Cell,59,Years,Male,Caucasian,53,TRUE,"HITES, 5% FBS","Complete growth medium, 90%; DMSO, 10%",NA,NA
NCI-H1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1915,Lung,NA,Lung,Carcinoma Non-Small Cell,61,Years,Female,Caucasian,183,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1915,NA
NCI-H1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1930,Lung,NA,Lung,Carcinoma Small Cell,41,Years,Male,Caucasian,88,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1930,NCI-H1930
NCI-H196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H196,Lung,Pleura,Lung,Carcinoma Small Cell,68,Years,Male,Caucasian,182,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H196,NA
NCI-H1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H1975,Lung,NA,Lung,Adenocarcinoma,NA,NA,Female,NA,361,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H1975,NCI-H1975
NCI-H2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H2030,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,Male,NA,492,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2030,NCI-H2030
NCI-H2073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H2073,Lung,NA,Lung,Adenocarcinoma,47,Years,Female,Caucasian,385,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2073,NA
NCI-H2081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H2081,Lung,NA,Lung,Carcinoma Small Cell,59,Years,Female,Caucasian,2,TRUE,"HITES, 5% FBS","Complete growth medium, 90%; DMSO, 10%",NCI-H2081,NCI-H2081
NCI-H209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H209,Lung,NA,Lung,Carcinoma Small Cell,NA,NA,Male,Caucasian,87,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H209,NCI-H209
NCI-H2106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H2106,Lung,Lymph Node,Lung,Carcinoma Non-Small Cell,58,Years,Male,Caucasian,394,FALSE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2106,NA
NCI-H2110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lung,NCI-H2110,Lung,NA,Lung,Carcinoma Non-Small Cell,NA,NA,NA,NA,232,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",NCI-H2110,NA
